,count,mean,std,min,25%,50%,75%,max
annee,1620.0,2019.0,2.582786176754924,2015.0,2017.0,2019.0,2021.0,2023.0
altitude_m,1620.0,1430.583950617284,402.6602624503541,730.0,1120.75,1439.0,1784.0,2049.0
pluviometrie_mm,1557.0,836.8193320488118,142.15623779318452,410.7,733.4,827.5,937.1,1303.6
temperature_moy_C,1620.0,21.21401234567901,1.5770614654521669,16.9,20.0,21.1,22.4,25.8
superficie_ha,1620.0,2.390574074074074,1.225292080773547,0.3,1.31,2.38,3.41,4.5
utilisation_engrais,1575.0,0.33650793650793653,0.47266499149745533,0.0,0.0,0.0,1.0,1.0
acces_irrigation,1620.0,0.16790123456790124,0.373893974624311,0.0,0.0,0.0,0.0,1.0
nb_menages,1620.0,97.20679012345678,47.9866007478475,15.0,53.75,98.0,139.0,180.0
rendement_t_ha,1576.0,4.512868020304569,3.703191882476969,0.47,1.06,3.865,7.6875,16.57
production_totale_t,1576.0,10.661345177664973,11.314000708441643,0.18,2.475,5.09,17.207500000000003,62.5
bonne_recolte,1576.0,0.9333756345177665,0.24944947845442456,0.0,1.0,1.0,1.0,1.0
